"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"2",1,"Jahmyr Gibbs",DET,"RB1","6","5 out of 5","1 out of 5","5 out of 5 stars","-1"
"3",1,"Puka Nacua",LAR,"WR2","11","5 out of 5","2 out of 5","1 out of 5 stars","+1"
"4",1,"Bijan Robinson",ATL,"RB2","11","5 out of 5","1 out of 5","2 out of 5 stars","-2"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","5 out of 5","2 out of 5","3 out of 5 stars","+1"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","5 out of 5","1 out of 5","4 out of 5 stars","+2"
"7",2,"CeeDee Lamb",DAL,"WR5","14","4 out of 5","2 out of 5","2 out of 5 stars","+5"
"8",2,"Justin Jefferson",MIN,"WR6","6","4 out of 5","2 out of 5","5 out of 5 stars","+5"
"9",2,"Christian McCaffrey",SF,"RB3","8","4 out of 5","4 out of 5","2 out of 5 stars","-4"
"10",2,"Drake London",ATL,"WR7","11","5 out of 5","3 out of 5","3 out of 5 stars","+6"
"11",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5","3 out of 5","4 out of 5 stars","-4"
"12",3,"A.J. Brown",NE,"WR8","11","5 out of 5","2 out of 5","2 out of 5 stars","+8"
"13",3,"Nico Collins",HOU,"WR9","8","4 out of 5","3 out of 5","3 out of 5 stars","+12"
"14",3,"Ashton Jeanty",LV,"RB5","13","5 out of 5","2 out of 5","2 out of 5 stars","-4"
"15",3,"Chase Brown",CIN,"RB6","6","5 out of 5","2 out of 5","2 out of 5 stars","0"
"16",3,"Brock Bowers",LV,"TE1","13","5 out of 5","1 out of 5","3 out of 5 stars","+6"
"17",3,"James Cook III",BUF,"RB7","7","5 out of 5","2 out of 5","2 out of 5 stars","-8"
"18",3,"Chris Olave",NO,"WR10","8","4 out of 5","4 out of 5","3 out of 5 stars","+10"
"19",3,"George Pickens",DAL,"WR11","14","4 out of 5","4 out of 5","2 out of 5 stars","+5"
"20",3,"Trey McBride",ARI,"TE2","14","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"21",3,"De'Von Achane",MIA,"RB8","6","4 out of 5","4 out of 5","3 out of 5 stars","-10"
"22",3,"Rashee Rice",KC,"WR12","5","5 out of 5","4 out of 5","2 out of 5 stars","+4"
"23",4,"DeVonta Smith",PHI,"WR13","10","4 out of 5","2 out of 5","4 out of 5 stars","+11"
"24",4,"Malik Nabers",NYG,"WR14","8","4 out of 5","4 out of 5","4 out of 5 stars","+5"
"25",4,"Omarion Hampton",LAC,"RB9","7","5 out of 5","2 out of 5","3 out of 5 stars","-8"
"26",4,"Saquon Barkley",PHI,"RB10","10","4 out of 5","3 out of 5","4 out of 5 stars","-12"
"27",4,"Josh Allen",BUF,"QB1","7","5 out of 5","1 out of 5","3 out of 5 stars","-4"
"28",4,"Kenneth Walker III",KC,"RB11","5","4 out of 5","4 out of 5","3 out of 5 stars","-9"
"29",4,"Zay Flowers",BAL,"WR15","13","5 out of 5","2 out of 5","4 out of 5 stars","+6"
"30",4,"Garrett Wilson",NYJ,"WR16","13","4 out of 5","4 out of 5","4 out of 5 stars","+10"
"31",4,"Lamar Jackson",BAL,"QB2","13","4 out of 5","3 out of 5","3 out of 5 stars","+11"
"32",4,"Tetairoa McMillan",CAR,"WR17","5","3 out of 5","3 out of 5","2 out of 5 stars","+5"
"33",4,"Jaylen Waddle",DEN,"WR18","10","4 out of 5","3 out of 5","2 out of 5 stars","+14"
"34",4,"Ladd McConkey",LAC,"WR19","7","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"35",5,"Tee Higgins",CIN,"WR20","6","5 out of 5","2 out of 5","4 out of 5 stars","+6"
"36",5,"Derrick Henry",BAL,"RB12","13","4 out of 5","2 out of 5","3 out of 5 stars","-18"
"37",5,"Drake Maye",NE,"QB3","11","5 out of 5","1 out of 5","2 out of 5 stars","+16"
"38",5,"Colston Loveland",CHI,"TE3","10","5 out of 5","3 out of 5","2 out of 5 stars","+5"
"39",5,"Emeka Egbuka",TB,"WR21","10","5 out of 5","3 out of 5","4 out of 5 stars","-1"
"40",5,"Breece Hall",NYJ,"RB13","13","4 out of 5","3 out of 5","3 out of 5 stars","-8"
"41",5,"Jeremiyah Love",ARI,"RB14","14","5 out of 5","3 out of 5","2 out of 5 stars","-14"
"42",5,"Kyren Williams",LAR,"RB15","11","4 out of 5","2 out of 5","5 out of 5 stars","-12"
"43",5,"Javonte Williams",DAL,"RB16","14","4 out of 5","4 out of 5","4 out of 5 stars","-12"
"44",5,"Josh Jacobs",GB,"RB17","11","4 out of 5","4 out of 5","4 out of 5 stars","-11"
"45",5,"Terry McLaurin",WAS,"WR22","7","4 out of 5","2 out of 5","2 out of 5 stars","+10"
"46",5,"Joe Burrow",CIN,"QB4","6","4 out of 5","3 out of 5","3 out of 5 stars","+10"
"47",5,"Luther Burden III",CHI,"WR23","10","4 out of 5","4 out of 5","3 out of 5 stars","+7"
"48",5,"Travis Etienne Jr.",NO,"RB18","8","4 out of 5","4 out of 5","3 out of 5 stars","-9"
"49",5,"Davante Adams",LAR,"WR24","11","3 out of 5","4 out of 5","1 out of 5 stars","0"
"50",5,"DJ Moore",BUF,"WR25","7","4 out of 5","2 out of 5","4 out of 5 stars","+2"
"51",5,"Jayden Daniels",WAS,"QB5","7","4 out of 5","4 out of 5","2 out of 5 stars","+9"
"52",6,"Tyler Warren",IND,"TE4","13","5 out of 5","2 out of 5","3 out of 5 stars","-2"
"53",6,"Mike Evans",SF,"WR26","8","4 out of 5","3 out of 5","2 out of 5 stars","+11"
"54",6,"Jameson Williams",DET,"WR27","6","4 out of 5","3 out of 5","4 out of 5 stars","+4"
"55",6,"Cam Skattebo",NYG,"RB19","8","4 out of 5","4 out of 5","4 out of 5 stars","-19"
"56",6,"Rome Odunze",CHI,"WR28","10","4 out of 5","3 out of 5","3 out of 5 stars","+5"
"57",6,"D'Andre Swift",CHI,"RB20","10","3 out of 5","3 out of 5","2 out of 5 stars","-9"
"58",6,"Christian Watson",GB,"WR29","11","4 out of 5","4 out of 5","5 out of 5 stars","+8"
"59",6,"Jalen Hurts",PHI,"QB6","10","4 out of 5","3 out of 5","5 out of 5 stars","+4"
"60",6,"Bucky Irving",TB,"RB21","10","2 out of 5","4 out of 5","2 out of 5 stars","-16"
"61",6,"David Montgomery",HOU,"RB22","8","4 out of 5","2 out of 5","4 out of 5 stars","-10"
"62",6,"Quinshon Judkins",CLE,"RB23","11","4 out of 5","4 out of 5","3 out of 5 stars","-16"
"63",6,"Parker Washington",JAC,"WR30","7","4 out of 5","3 out of 5","4 out of 5 stars","+10"
"64",6,"Caleb Williams",CHI,"QB7","10","4 out of 5","2 out of 5","3 out of 5 stars","+10"
"65",6,"Carnell Tate",TEN,"WR31","9","4 out of 5","3 out of 5","3 out of 5 stars","+4"
"66",6,"TreVeyon Henderson",NE,"RB24","11","4 out of 5","3 out of 5","2 out of 5 stars","-9"
"67",6,"Marvin Harrison Jr.",ARI,"WR32","14","3 out of 5","4 out of 5","2 out of 5 stars","+5"
"68",6,"Bhayshul Tuten",JAC,"RB25","7","4 out of 5","3 out of 5","4 out of 5 stars","-9"
"69",6,"Justin Herbert",LAC,"QB8","7","5 out of 5","2 out of 5","2 out of 5 stars","+16"
"70",6,"Jadarian Price",SEA,"RB26","11","4 out of 5","4 out of 5","4 out of 5 stars","-8"
"71",6,"Harold Fannin Jr.",CLE,"TE5","11","4 out of 5","3 out of 5","3 out of 5 stars","-6"
"72",7,"Brian Thomas Jr.",JAC,"WR33","7","2 out of 5","4 out of 5","4 out of 5 stars","+5"
"73",7,"Jaylen Warren",PIT,"RB27","9","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"74",7,"Trevor Lawrence",JAC,"QB9","7","5 out of 5","2 out of 5","4 out of 5 stars","+9"
"75",7,"Tucker Kraft",GB,"TE6","11","5 out of 5","3 out of 5","2 out of 5 stars","-5"
"76",7,"Chris Godwin Jr.",TB,"WR34","10","4 out of 5","4 out of 5","4 out of 5 stars","+21"
"77",7,"DK Metcalf",PIT,"WR35","9","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"78",7,"Dak Prescott",DAL,"QB10","14","4 out of 5","2 out of 5","2 out of 5 stars","-3"
"79",7,"Kyle Pitts Sr.",ATL,"TE7","11","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"80",7,"Rhamondre Stevenson",NE,"RB28","11","4 out of 5","3 out of 5","2 out of 5 stars","-2"
"81",7,"Michael Pittman Jr.",PIT,"WR36","9","4 out of 5","3 out of 5","3 out of 5 stars","+12"
"82",7,"Courtland Sutton",DEN,"WR37","10","2 out of 5","4 out of 5","2 out of 5 stars","-6"
"83",7,"Tony Pollard",TEN,"RB29","9","4 out of 5","3 out of 5","3 out of 5 stars","-4"
"84",7,"Sam LaPorta",DET,"TE8","6","4 out of 5","3 out of 5","3 out of 5 stars","-17"
"85",7,"Wan'Dale Robinson",TEN,"WR38","9","4 out of 5","3 out of 5","3 out of 5 stars","+9"
"86",7,"Josh Downs",IND,"WR39","13","4 out of 5","4 out of 5","4 out of 5 stars","+17"
"87",7,"Rico Dowdle",PIT,"RB30","9","4 out of 5","4 out of 5","2 out of 5 stars","-6"
"88",7,"Michael Wilson",ARI,"WR40","14","-","-","2 out of 5 stars","-2"
"89",7,"RJ Harvey",DEN,"RB31","10","2 out of 5","4 out of 5","2 out of 5 stars","-7"
"90",7,"Jonathon Brooks",CAR,"RB32","5","4 out of 5","4 out of 5","1 out of 5 stars","-3"
"91",7,"Brock Purdy",SF,"QB11","8","4 out of 5","2 out of 5","1 out of 5 stars","+16"
"92",7,"Jaxson Dart",NYG,"QB12","8","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"93",7,"Chuba Hubbard",CAR,"RB33","5","2 out of 5","4 out of 5","1 out of 5 stars","-9"
"94",7,"Quentin Johnston",LAC,"WR41","7","4 out of 5","4 out of 5","2 out of 5 stars","+11"
"95",7,"Travis Kelce",KC,"TE9","5","2 out of 5","3 out of 5","4 out of 5 stars","0"
"96",7,"George Kittle",SF,"TE10","8","4 out of 5","4 out of 5","3 out of 5 stars","-4"
"97",7,"Kenny Gainwell",TB,"RB34","10","4 out of 5","3 out of 5","2 out of 5 stars","+3"
"98",8,"Alec Pierce",IND,"WR42","13","4 out of 5","4 out of 5","4 out of 5 stars","-10"
"99",8,"Bo Nix",DEN,"QB13","10","4 out of 5","2 out of 5","3 out of 5 stars","+13"
"100",8,"Patrick Mahomes II",KC,"QB14","5","2 out of 5","4 out of 5","2 out of 5 stars","+1"
"101",8,"Jakobi Meyers",JAC,"WR43","7","2 out of 5","3 out of 5","4 out of 5 stars","+10"
"102",8,"J.K. Dobbins",DEN,"RB35","10","4 out of 5","4 out of 5","2 out of 5 stars","-12"
"103",8,"Matthew Stafford",LAR,"QB15","11","4 out of 5","2 out of 5","3 out of 5 stars","-12"
"104",8,"Stefon Diggs",WAS,"WR44","7","4 out of 5","2 out of 5","2 out of 5 stars","0"
"105",8,"Jayden Reed",GB,"WR45","11","4 out of 5","4 out of 5","5 out of 5 stars","+16"
"106",8,"Jordan Addison",MIN,"WR46","6","4 out of 5","3 out of 5","5 out of 5 stars","0"
"107",8,"Jared Goff",DET,"QB16","6","4 out of 5","1 out of 5","5 out of 5 stars","+17"
"108",8,"Makai Lemon",PHI,"WR47","10","4 out of 5","3 out of 5","4 out of 5 stars","+5"
"109",8,"Rachaad White",WAS,"RB36","7","4 out of 5","2 out of 5","4 out of 5 stars","+5"
"110",8,"Blake Corum",LAR,"RB37","11","4 out of 5","4 out of 5","5 out of 5 stars","-8"
"111",8,"Kyle Monangai",CHI,"RB38","10","4 out of 5","4 out of 5","2 out of 5 stars","-12"
"112",8,"Kyler Murray",MIN,"QB17","6","4 out of 5","3 out of 5","5 out of 5 stars","+26"
"113",8,"Aaron Jones Sr.",MIN,"RB39","6","1 out of 5","4 out of 5","4 out of 5 stars","+7"
"114",8,"Dalton Kincaid",BUF,"TE11","7","3 out of 5","4 out of 5","3 out of 5 stars","+9"
"115",8,"Jake Ferguson",DAL,"TE12","14","2 out of 5","4 out of 5","2 out of 5 stars","-5"
"116",8,"Jacory Croskey-Merritt",WAS,"RB40","7","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"117",8,"Baker Mayfield",TB,"QB18","10","3 out of 5","4 out of 5","2 out of 5 stars","+18"
"118",8,"Jordan Mason",MIN,"RB41","6","4 out of 5","3 out of 5","4 out of 5 stars","-10"
"119",8,"Jordan Love",GB,"QB19","11","4 out of 5","2 out of 5","4 out of 5 stars","+27"
"120",8,"Isaiah Likely",NYG,"TE13","8","4 out of 5","4 out of 5","3 out of 5 stars","-11"
"121",8,"Khalil Shakir",BUF,"WR48","7","2 out of 5","4 out of 5","4 out of 5 stars","+16"
"122",8,"Dallas Goedert",PHI,"TE14","10","4 out of 5","3 out of 5","4 out of 5 stars","-3"
"123",8,"KC Concepcion",CLE,"WR49","11","4 out of 5","3 out of 5","3 out of 5 stars","+4"
"124",8,"Jalen Coker",CAR,"WR50","5","4 out of 5","3 out of 5","2 out of 5 stars","+20"
"125",8,"Tyler Shough",NO,"QB20","8","4 out of 5","2 out of 5","3 out of 5 stars","+24"
"126",8,"Xavier Worthy",KC,"WR51","5","4 out of 5","4 out of 5","2 out of 5 stars","+3"
"127",8,"Jordyn Tyson",NO,"WR52","8","4 out of 5","5 out of 5","3 out of 5 stars","-11"
"128",8,"Matthew Golden",GB,"WR53","11","3 out of 5","4 out of 5","5 out of 5 stars","-2"
"129",8,"Romeo Doubs",NE,"WR54","11","4 out of 5","3 out of 5","2 out of 5 stars","+4"
"130",8,"Mark Andrews",BAL,"TE15","13","4 out of 5","4 out of 5","4 out of 5 stars","-5"
